10
.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;44;.;.;.;.;.;.;.;.;.;.
.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;17;.;.;.;.;.;28;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;98;.;.;.;.;.;.;.;.;45
49;15;93;66;34;13;52;77;82;.;.;59;.;.;50;85;46;.;54;2;55;.;.;48;58;.;.;11;7;.;.;76;.;57;91;.;73;92;35;30;.;70;28;24;83;.;.;27;99;81;.;.;95;63;20;.;9;.;68;61;60;3;38;29;.;.;64;71;31;.;8;.;10;.;.;74;.;.;.;.;.;65;45;.;18;36;.;.;87;16;100;41;.;21;84;44;5;62;.;.
68;42;.;17;19;41;96;86;48;44;12;.;51;.;53;81;65;8;34;92;76;.;.;.;40;10;63;91;.;45;70;5;.;13;60;7;36;83;.;.;74;.;.;62;.;.;.;.;33;37;88;94;30;84;97;.;.;71;54;49;90;28;75;.;15;25;47;26;4;.;14;59;9;57;82;.;73;58;16;50;72;52;2;23;100;99;46;24;93;64;95;27;55;.;1;77;32;.;.;.
2;26;38;23;.;99;83;.;5;.;28;96;.;70;32;.;.;16;48;.;93;46;.;71;35;.;13;92;3;25;100;90;84;74;.;17;.;61;50;8;18;95;.;45;.;88;.;.;.;19;.;.;.;.;59;4;58;51;69;66;62;81;72;.;9;21;80;41;63;.;6;24;33;55;.;44;52;49;39;.;91;85;.;76;77;57;94;37;27;97;.;43;89;.;7;30;78;22;11;60
58;45;92;12;.;1;32;46;16;21;30;73;33;.;95;.;17;.;43;36;.;72;.;.;6;31;24;78;100;97;42;69;93;.;.;40;62;86;.;81;53;8;50;77;23;91;7;34;.;4;.;19;85;35;87;75;28;27;64;38;13;.;70;.;54;.;74;52;10;56;67;11;2;61;15;.;80;.;37;84;14;.;.;49;9;51;96;79;98;59;20;90;29;66;99;.;26;57;47;94
88;84;67;.;59;43;79;.;.;74;.;40;45;4;23;61;.;58;94;.;73;.;99;.;26;44;.;62;96;60;65;85;15;78;.;37;29;.;.;49;82;.;41;48;3;54;.;.;10;6;.;81;18;21;70;57;50;31;7;100;33;.;16;.;89;1;55;12;68;83;86;.;.;77;.;.;66;75;34;.;39;.;47;8;38;.;56;.;95;.;91;64;.;.;13;.;2;.;93;42
29;22;14;94;39;98;.;.;55;.;41;69;6;76;.;.;37;.;79;47;.;82;57;27;.;50;.;56;9;.;.;26;66;87;59;45;1;.;75;48;49;.;89;100;.;97;60;.;.;92;77;16;.;15;.;72;90;53;74;44;35;19;51;11;91;65;.;32;.;93;68;85;.;12;.;46;42;.;5;81;17;33;3;43;54;.;25;73;34;62;71;18;70;10;.;86;.;.;.;28
57;.;100;54;.;.;50;95;85;47;99;.;78;.;.;.;.;25;20;.;43;21;8;16;53;80;52;.;.;4;94;31;32;.;51;68;46;.;77;.;.;2;.;44;.;12;59;93;26;79;13;5;83;73;1;33;42;45;76;.;37;84;40;61;82;7;27;96;.;18;91;19;92;36;71;.;3;.;97;62;22;35;29;66;28;.;90;70;75;.;.;24;49;9;39;81;.;67;48;23
.;.;27;40;61;.;.;.;8;.;.;80;66;77;9;.;62;.;97;72;85;36;81;29;49;64;.;18;88;.;.;44;16;58;20;24;43;.;52;33;47;94;55;25;67;5;21;.;71;31;14;93;39;.;17;3;56;86;2;41;78;59;92;.;.;45;30;.;.;95;65;22;26;100;23;.;.;.;1;.;42;.;63;69;10;13;74;4;.;.;19;51;38;.;.;37;50;34;75;.
