9
29;73;.;.;14;37;.;3;15;64;71;.;53;.;.;50;54;.;62;44;.;.;21;.;79;52;13;77;24;42;57;.;.;.;19;34;65;46;1;67;23;27;45;6;7;26;60;.;.;.;38;47;9;49;61;59;56;.;30;.;.;16;32;.;8;28;.;.;31;.;55;17;69;75;.;66;40;.;.;10;11
13;79;12;.;.;.;46;21;18;35;29;.;32;3;24;.;.;27;76;57;25;53;2;68;64;22;20;67;.;69;.;.;15;.;38;33;.;26;50;51;37;42;52;63;.;14;30;.;73;.;.;71;.;59;28;65;40;10;5;8;39;81;77;58;.;.;48;19;74;.;78;16;72;70;54;.;.;.;17;60;9
.;22;57;.;2;23;.;17;69;45;.;43;.;.;.;.;52;.;6;51;.;16;35;40;30;.;66;72;4;21;.;9;.;10;13;3;58;55;49;38;.;48;53;68;80;8;81;77;.;50;.;28;65;7;62;.;73;54;15;25;.;1;63;.;41;.;.;.;.;59;.;18;37;76;.;78;39;.;61;27;.
.;.;.;61;.;42;10;9;19;78;.;.;.;73;.;.;.;51;36;81;12;45;14;67;5;31;77;59;58;.;26;.;.;18;49;65;.;75;32;57;28;4;54;79;.;21;66;41;.;.;3;.;74;56;55;6;27;69;7;46;64;53;23;40;.;.;.;24;.;.;.;11;50;52;15;71;.;8;.;.;.
27;.;71;.;58;.;.;.;50;67;81;26;37;.;.;.;44;77;1;.;.;69;18;.;3;61;38;30;55;41;74;39;.;.;53;68;29;2;.;15;13;78;.;25;17;72;23;.;.;36;34;63;76;40;21;4;42;.;22;70;.;.;75;5;14;.;.;.;54;52;62;57;19;.;.;.;65;.;32;.;28
32;.;39;56;.;.;5;.;52;69;.;15;4;8;79;38;57;60;33;54;.;.;72;48;73;19;.;.;25;.;75;2;63;71;36;28;12;61;64;.;74;.;77;18;21;42;16;44;78;11;24;.;13;.;.;80;35;45;58;.;.;37;51;9;43;53;7;30;50;10;.;1;46;.;29;.;.;22;26;.;47
.;8;.;33;.;20;51;78;30;.;2;7;.;.;39;21;48;59;28;41;56;.;.;23;65;.;29;.;54;17;16;14;.;6;.;45;69;24;19;73;.;72;22;40;43;53;.;75;.;35;27;58;46;.;36;.;52;38;.;.;18;71;31;81;61;13;68;.;.;79;34;.;80;12;77;67;.;63;.;1;.
28;65;77;40;.;.;53;.;36;.;62;55;14;.;.;42;.;13;58;59;17;7;26;.;37;.;15;60;8;.;.;35;52;64;73;44;11;.;10;31;.;30;41;.;81;61;39;54;70;32;.;.;29;25;24;.;20;.;57;48;66;49;19;80;.;4;.;.;27;46;69;.;3;.;5;.;.;38;68;51;74
24;74;41;66;80;43;54;16;.;.;19;40;1;.;.;28;.;58;.;.;34;.;63;9;27;71;75;37;48;.;51;.;50;.;81;23;14;56;39;.;70;.;36;8;35;22;18;.;79;.;2;.;69;6;68;26;76;13;44;.;67;.;.;73;.;77;.;.;25;65;49;.;.;57;62;30;4;55;64;53;21
53;46;73;79;34;25;.;.;.;.;78;.;.;76;30;62;43;4;.;11;3;50;20;57;68;21;.;75;.;15;37;.;10;19;69;24;60;.;65;18;81;54;61;.;56;66;29;32;2;.;17;36;.;26;.;28;12;22;80;6;44;35;.;63;64;45;59;71;.;.;1;.;.;.;.;49;67;14;51;31;27
51;18;.;.;49;.;24;10;40;7;22;.;69;27;.;.;.;28;45;.;64;58;.;.;63;37;26;20;13;8;.;36;30;65;31;.;5;29;44;74;.;19;78;12;77;.;72;46;57;61;.;42;55;48;9;73;70;.;.;53;15;.;34;39;.;.;.;66;47;.;54;33;38;4;17;.;62;.;.;11;41
.;.;15;.;72;44;23;69;78;.;.;.;54;19;.;17;13;39;.;.;48;.;.;66;.;60;76;68;63;61;.;52;.;.;21;53;46;.;37;28;20;22;14;.;16;74;56;.;.;8;.;12;49;34;43;32;.;62;.;.;55;.;.;6;3;80;.;38;67;.;.;.;5;25;70;79;35;.;29;.;.
4;63;.;.;71;64;.;68;66;.;32;42;25;.;50;18;10;36;.;28;.;52;40;15;.;75;.;81;49;.;58;54;26;11;.;60;73;69;62;79;30;33;59;38;39;37;.;31;22;45;35;.;6;65;.;57;.;76;20;24;.;78;.;27;55;48;77;.;16;41;70;.;53;56;.;80;8;.;.;46;23
.;20;.;27;.;31;.;.;.;26;38;23;.;55;44;.;61;.;42;.;77;12;.;.;8;13;49;47;34;.;45;76;51;74;25;.;9;64;.;35;66;53;.;50;68;.;67;3;5;40;58;.;43;18;46;41;59;.;.;11;37;.;54;.;24;.;62;17;.;2;14;29;.;.;.;19;.;15;.;39;.
.;3;.;.;.;74;77;.;.;53;.;.;15;35;5;68;.;34;56;47;6;73;22;61;2;10;.;18;23;44;39;57;14;72;.;.;26;21;80;.;.;.;67;13;31;.;.;78;54;27;69;38;70;4;.;16;17;63;1;60;50;33;64;79;.;12;8;58;28;.;.;40;.;.;59;52;.;.;.;32;.
61;.;.;.;.;19;16;70;43;72;.;60;74;.;56;24;58;8;71;.;79;.;54;.;55;78;4;.;.;46;48;59;.;17;66;62;.;76;41;10;.;34;3;36;.;1;28;23;.;73;33;51;.;.;38;27;69;.;42;.;7;.;40;30;20;5;9;.;13;57;.;49;68;63;45;21;.;.;.;.;81
56;.;48;.;57;67;38;.;.;20;.;63;71;65;.;70;.;.;.;69;.;46;.;.;.;36;.;78;7;50;28;40;55;33;.;.;1;4;45;8;.;15;27;17;24;.;.;9;52;64;59;11;62;47;.;31;.;.;.;3;.;25;.;.;.;61;.;22;34;75;.;81;.;.;60;42;26;.;18;.;10
