8
40;20;15;.;33;.;51;54;.;44;30;17;61;.;.;62;1;64;24;13;.;7;.;26;.;42;29;4;.;57;.;18;27;.;34;.;59;43;19;.;12;.;52;.;55;37;46;50;47;.;.;36;3;35;9;.;5;49;.;10;.;23;31;41
38;57;.;.;48;.;.;.;8;40;4;.;2;.;42;12;.;55;.;31;.;25;21;39;.;16;64;17;20;.;59;.;.;58;.;46;24;9;1;.;26;51;30;.;18;.;27;.;50;13;.;15;.;10;45;11;.;.;.;53;.;.;44;47
.;.;4;47;28;41;6;.;.;59;1;23;20;35;16;27;11;.;18;30;.;.;56;34;40;.;50;46;45;.;21;.;.;10;.;63;14;17;.;5;15;64;.;.;9;48;.;49;8;42;43;24;22;19;54;.;.;60;26;13;38;62;.;.
10;9;.;30;11;.;5;21;36;24;13;.;29;.;57;60;38;.;3;19;.;62;.;51;12;55;47;1;43;.;63;7;50;41;.;8;23;26;37;25;6;.;39;.;4;14;.;35;17;18;.;53;.;20;58;52;40;45;.;15;28;.;32;64
.;.;.;.;52;43;.;36;7;14;58;41;.;53;9;47;8;10;63;5;.;44;45;33;54;49;56;51;.;34;.;.;.;.;60;.;4;55;31;13;61;38;23;.;40;42;3;21;39;30;29;.;48;64;27;59;19;.;24;46;.;.;.;.
.;13;59;.;64;53;.;.;26;.;.;63;55;28;3;.;.;6;.;.;60;58;.;35;33;.;.;48;24;38;41;23;45;57;47;52;7;.;.;18;17;.;44;62;.;.;36;.;.;1;56;51;49;.;.;5;.;.;2;50;.;16;4;.
55;42;.;.;14;45;.;.;5;.;.;.;15;37;.;.;28;20;36;9;23;.;47;.;27;.;13;.;60;.;11;32;62;40;.;3;.;39;.;16;.;43;.;10;33;7;63;22;.;.;26;21;.;.;.;61;.;.;25;34;.;.;1;8
.;.;.;18;22;24;2;35;.;33;31;51;10;52;38;.;17;43;.;.;15;4;.;37;30;.;62;19;.;.;26;36;64;21;.;.;20;56;.;61;25;.;29;41;.;.;5;45;.;28;40;34;23;55;63;.;11;58;7;14;57;.;.;.
.;.;5;.;.;.;.;62;.;55;12;.;41;.;1;.;.;.;26;2;40;18;64;.;29;24;30;.;.;60;.;4;8;.;57;.;.;37;44;56;.;47;6;21;35;52;.;.;.;19;.;45;.;39;16;.;59;.;.;.;.;42;.;.
63;1;44;.;.;28;.;.;58;39;50;2;25;.;23;24;9;8;.;38;7;55;30;.;19;.;33;.;35;52;.;11;15;.;22;26;.;3;.;42;.;17;12;43;32;.;49;16;36;40;.;14;46;13;53;6;.;.;18;.;.;47;10;56
30;18;29;.;31;.;.;.;21;.;.;59;8;32;40;.;41;37;.;43;51;3;48;.;50;62;16;42;.;56;.;.;.;.;2;.;12;54;6;58;.;63;34;46;36;.;19;9;.;60;35;25;1;.;.;20;.;.;.;23;.;28;55;14
64;.;54;42;60;13;40;.;34;29;.;47;43;.;.;4;31;56;39;.;.;22;61;32;.;6;17;38;1;36;.;8;5;.;11;25;52;53;55;.;59;20;7;.;.;45;14;15;26;.;.;41;10;.;18;27;.;19;50;49;46;12;.;24
41;26;.;38;55;.;35;58;18;57;.;60;46;6;13;.;.;47;44;53;28;33;17;.;.;20;22;63;48;43;.;.;.;.;14;51;49;4;45;.;.;23;10;25;62;29;40;.;.;5;54;42;64;.;15;50;52;3;.;27;36;.;8;2
9;.;.;.;16;6;.;53;.;35;.;54;.;44;20;.;5;24;52;.;25;13;29;19;3;.;.;40;32;.;47;.;.;39;.;27;34;.;.;41;55;42;50;61;.;28;48;18;.;23;11;.;57;.;21;.;30;.;4;37;.;.;.;22
.;50;43;36;.;.;.;45;14;52;38;.;.;11;56;.;15;.;.;59;.;42;6;60;21;.;53;.;64;12;.;46;23;.;13;62;.;20;.;63;57;1;41;.;8;.;.;3;.;47;22;.;.;49;32;7;26;.;.;.;40;39;54;.
7;37;.;22;10;.;.;52;48;30;.;.;.;15;28;51;.;50;.;14;.;45;.;.;49;.;34;18;13;.;.;54;40;.;.;33;43;64;.;47;.;.;56;.;60;.;38;.;3;8;63;.;.;.;55;2;35;.;.;17;58;.;6;62
53;56;28;55;54;39;26;3;.;43;61;.;.;13;46;32;25;22;.;7;24;.;5;.;47;.;40;.;34;30;17;52;16;44;27;50;.;59;.;48;.;58;.;45;64;.;23;31;18;38;20;.;.;36;60;.;2;21;29;41;1;19;49;37
43;.;2;6;21;10;.;9;20;.;.;1;.;.;27;52;.;45;8;16;31;.;46;64;.;53;.;35;.;.;50;.;.;12;.;.;62;.;38;.;56;61;.;3;59;34;51;.;33;44;.;.;37;.;.;39;47;.;23;22;32;24;.;58
13;24;23;.;15;60;62;41;.;47;.;.;.;5;18;.;.;28;.;51;.;63;59;.;.;27;.;.;54;10;56;19;2;33;37;1;.;.;36;.;.;40;55;.;22;.;6;.;.;3;50;.;.;.;12;.;17;35;16;39;.;26;61;34
